Visibility Range(in kms),Visibility Condition,Efficiency,Pointing Angle,Pointing Loss(in dB),Effective Power(in dB),SNR (in dB)
1.0,Light Fog,0.85,6.705796960250444,1.1459418430318102e-10,-31.007238445903184,-36.47910405388915
1.02,Under Thin Fog,0.85,2.0992988517736584,1.1230790211875047e-11,-35.26719305452413,-41.49081535825245
1.04,Under Thin Fog,0.85,1.0778953070696375,2.9608400085015565e-12,-34.89757552905504,-41.05597121065003
1.06,Under Thin Fog,0.85,5.209255069902315,6.915331831205498e-11,-34.54397014569962,-40.63996487722452
1.08,Under Thin Fog,0.85,3.1818169761428394,2.5799552174828332e-11,-34.20545940583326,-40.241716948013334
1.1,Under Thin Fog,0.85,9.798735451281546,2.446818996645546e-10,-33.88119291662186,-39.86022696048692
1.12,Under Thin Fog,0.85,8.575505561610065,1.874050303991297e-10,-33.57038139310866,-39.494566344646316
1.1400000000000001,Under Thin Fog,0.85,3.9148433064036148,3.905625036936826e-11,-33.272291294233305,-39.14387211082365
1.1600000000000001,Under Thin Fog,0.85,1.024551546383778,2.675034605612497e-12,-32.986240011967986,-38.8073411905479
1.1800000000000002,Under Thin Fog,0.85,4.892836430499274,6.100749220145907e-11,-32.711591550095434,-38.484225352992446
1.2000000000000002,Under Thin Fog,0.85,7.706663070388219,1.513542160941678e-10,-32.447752635503115,-38.173826629852314
1.2200000000000002,Under Thin Fog,0.85,5.0223113267177215,6.427898930742328e-11,-32.194169211814355,-37.875493190305555
1.2400000000000002,Under Thin Fog,0.85,2.19803227941827,1.2312036954782667e-11,-31.950323272966145,-37.58861561524198
1.26,Under Thin Fog,0.85,5.706301278658808,8.29795687727235e-11,-31.715729997506372,-37.31262352639511
1.28,Under Thin Fog,0.85,1.9109914715048848,9.306347735134078e-12,-31.48993515183306,-37.046982531558996
1.3,Under Thin Fog,0.85,7.116430544913136,1.2905837975044533e-10,-31.272512734181433,-36.7911914518491
1.32,Under Thin Fog,0.85,3.1628522240047587,2.549291985191917e-11,-31.063062830950273,-36.544779801092474
1.34,Under Thin Fog,0.85,3.3187093792310245,2.8067273317664777e-11,-30.861209667377842,-36.30730549100469
1.36,Under Thin Fog,0.85,6.660747517089404,1.130596720756338e-10,-30.666599828169502,-36.078352738909885
1.3800000000000001,Under Thin Fog,0.85,6.2130339160405885,9.83714849120703e-11,-30.47890063392054,-35.8575301574552
1.4000000000000001,Under Thin Fog,0.85,9.166459016051517,2.1412381887817234e-10,-30.297798657083586,-35.64446900811951
1.4200000000000002,Under Thin Fog,0.85,9.063479748906634,2.0933975703584448e-10,-30.12299836218979,-35.438821602366886
1.4400000000000002,Under Thin Fog,0.85,7.131617028780608,1.296097894077858e-10,-29.954220860786435,-35.24025983608973
1.4600000000000002,Under Thin Fog,0.85,6.7730406519284605,1.1690393851474996e-10,-29.791202767975097,-35.04847384455968
1.4800000000000002,Under Thin Fog,0.85,8.33804075382099,1.7716984504843096e-10,-29.633695151663847,-34.863170766486185
1.5000000000000002,Under Thin Fog,0.85,8.72340446722361,1.939249986165181e-10,-29.481462566113706,-34.684073606998666
1.52,Under Thin Fog,0.85,8.700991268562586,1.929297688774933e-10,-29.334282162038274,-34.51092019044034
1.54,Under Thin Fog,0.85,2.505788280614158,1.6001125291927864e-11,-29.191942865600556,-34.34346219480818
1.56,Under Thin Fog,0.85,6.46297654311113,1.0644540966290563e-10,-29.05424462152516,-34.18146426051139
1.58,Under Thin Fog,0.85,6.337012560398499,1.0233658355195059e-10,-28.92099769192003,-34.0247031668624
1.6,Under Thin Fog,0.85,9.05347159444197,2.0887769435248392e-10,-28.79202200999488,-33.872967070373335
1.62,Under Thin Fog,0.85,7.142635695103757,1.3001060461586444e-10,-28.667146579699203,-33.72605479951611
1.6400000000000001,Under Thin Fog,0.85,2.927286764881663,2.1836966944767612e-11,-28.546208920975282,-33.583775201125555
1.6600000000000001,Under Thin Fog,0.85,9.845982199294793,2.470471629522732e-10,-28.429054554186077,-33.445946534089515
1.6800000000000002,Under Thin Fog,0.85,4.676852261590792,5.5740271596543323e-11,-28.315536520474563,-33.31239590638492
1.7000000000000002,Under Thin Fog,0.85,9.827971057446828,2.4614414858505175e-10,-28.205514939315364,-33.18295875188958
1.7200000000000002,Under Thin Fog,0.85,8.043548214938049,1.6487587645360845e-10,-28.098856592311986,-33.05747834373158
1.7400000000000002,Under Thin Fog,0.85,3.609819113854707,3.320723065195892e-11,-27.995434540078946,-32.93580534123614
1.7600000000000002,Under Thin Fog,0.85,6.8323354769374,1.189597776196158e-10,-27.895127762728347,-32.81779736779674
1.78,Under Thin Fog,0.85,2.9347228383742174,2.194805106434681e-11,-27.7978208246709,-32.70331861723793
1.8,Under Thin Fog,0.85,2.858809615888996,2.0827265186942316e-11,-27.703403563503045,-32.592239486453344
1.82,Under Thin Fog,0.85,9.409198219885567,2.2561450310968015e-10,-27.611770797644347,-32.48443623229715
1.84,Under Thin Fog,0.85,4.171505064311903,4.4345272572991195e-11,-27.522822053288582,-32.3797906508834
1.86,Under Thin Fog,0.85,5.255070736873872,7.037508152531955e-11,-27.436461311024882,-32.27818977760596
1.8800000000000001,Under Thin Fog,0.85,3.7085682698745757,3.504889535726944e-11,-27.352596765415207,-32.17952560633578
1.9000000000000001,Under Thin Fog,0.85,9.239797684321278,2.1756383337218162e-10,-27.271140602609567,-32.08369482638193
1.9200000000000002,Under Thin Fog,0.85,5.273550311999061,7.087090291113102e-11,-27.192008789592894,-31.99059857592077
1.9400000000000002,Under Thin Fog,0.85,3.3846203964210844,2.9193200691124346e-11,-27.115120879123623,-31.90014221070448
1.9600000000000002,Under Thin Fog,0.85,9.565927751018267,2.331932478609477e-10,-27.040399824111745,-31.812235086957095
1.9800000000000002,Under Thin Fog,0.85,5.754007050109159,8.437281861846097e-11,-26.967771803908164,-31.726790357454643
2.0,Thin Fog,0.85,2.1100414743868843,1.134602567130186e-11,-26.897166062895774,-31.643724779866034
2.02,Under Haze,0.85,4.987141700315034,6.338189132669063e-11,-26.828514756082818,-31.56295853650464
2.04,Under Haze,0.85,3.0707658145953403,2.4030077567382743e-11,-26.761752805021555,-31.48441506470721
2.06,Under Haze,0.85,2.491020206818711,1.5813073127343882e-11,-26.69681776256318,-31.408020897117343
2.08,Under Haze,0.85,3.6282768098219913,3.3547688696787906e-11,-26.633649684554303,-31.33370551120681
2.1,Under Haze,0.85,8.97303541042036,2.051826060693351e-10,-26.572191009479955,-31.261401187418294
2.12,Under Haze,0.85,9.886719058277572,2.4909566243660044e-10,-26.512386444267783,-31.19104287536006
2.14,Under Haze,0.85,6.4008539739447325,1.0440892334710207e-10,-26.454182857485385,-31.122568067525457
2.16,Under Haze,0.85,7.447826514328648,1.4135815953841488e-10,-26.397529178161953,-31.055916680049176
2.18,Under Haze,0.85,2.647118991897183,1.7857008534297414e-11,-26.342376299056102,-30.991030940048148
2.2,Under Haze,0.85,2.6490478978555103,1.7883042150309492e-11,-26.288676987273778,-30.927855279127737
2.22,Under Haze,0.85,6.616357712187362,1.1155774650288906e-10,-26.236385797859352,-30.86633623266415
2.24,Under Haze,0.85,3.7202198194245892,3.526947398714653e-11,-26.18545899285649,-30.80642234450178
2.2600000000000002,Under Haze,0.85,2.842019345505023,2.0583339532098275e-11,-26.135854465237834,-30.748064076729808
2.2800000000000002,Under Haze,0.85,3.85310017904884,3.783401046474431e-11,-26.08753166562414,-30.691213724225864
2.3000000000000003,Under Haze,0.85,8.554399844845092,1.864836969283333e-10,-26.04045153378345,-30.6358253336764
2.3200000000000003,Under Haze,0.85,2.441711526813444,1.5193243042341882e-11,-25.994576432795718,-30.5818546268033
2.3400000000000003,Under Haze,0.85,4.069308192842357,4.219907622162439e-11,-25.949870088449025,-30.52925892754489
2.3600000000000003,Under Haze,0.85,2.6892320030969645,1.842970230792137e-11,-25.906297529028716,-30.477997092956528
2.3800000000000003,Under Haze,0.85,6.7980532040478545,1.1776897542542494e-10,-25.86382503057003,-30.428029447611678
2.4000000000000004,Under Haze,0.85,9.611480032447012,2.3541943574285536e-10,-25.822420063304385,-30.379317721299152
2.42,Under Haze,0.85,1.1997689671496756,3.668233960038394e-12,-25.782051241354793,-30.3318249898255
2.44,Under Haze,0.85,3.2652435063085496,2.7170205752061375e-11,-25.742688275955715,-30.28551561874426
2.46,Under Haze,0.85,4.756322741146008,5.765067684922424e-11,-25.704301928417458,-30.24035520984524
2.48,Under Haze,0.85,9.99643952911579,2.5465515069575157e-10,-25.6668639679271,-30.196310550247816
2.5,Under Haze,0.85,5.686313642597623,8.239927671088837e-11,-25.630347129429435,-30.153349563952233
2.52,Under Haze,0.85,2.998259814837862,2.2908692689855134e-11,-25.594725075874802,-30.111441265712156
2.54,Under Haze,0.85,9.93317625014615,2.514421382908132e-10,-25.559972359749008,-30.07055571710033
2.56,Under Haze,0.85,3.792050752519291,3.66446063658573e-11,-25.526064386981286,-30.03066398464722
2.58,Under Haze,0.85,5.5683608379674885,7.901626899312362e-11,-25.492977385016122,-29.99173809993995
2.6,Under Haze,0.85,4.053404205164597,4.1869869354913553e-11,-25.460688368375056,-29.953751021575844
2.62,Under Haze,0.85,6.045268469500151,9.313072063963821e-11,-25.42917510911969,-29.916676598871213
2.64,Under Haze,0.85,8.014335858981621,1.636804670149513e-10,-25.398416106786552,-29.880489537232265
2.66,Under Haze,0.85,8.205704205726779,1.71590600382804e-10,-25.36839056048111,-29.845165365100307
2.68,Under Haze,0.85,7.814414677873078,1.5561615687168945e-10,-25.33907834216293,-29.81068040238901
2.7,Under Haze,0.85,9.939072950922709,2.517407576047827e-10,-25.310459970999656,-29.77701173033609
2.72,Under Haze,0.85,9.204309032960023,2.1589578400279338e-10,-25.28251658847551,-29.744137162696468
2.74,Under Haze,0.85,5.919879216570426,8.930740497045803e-11,-25.25522993555296,-29.712035218208296
2.7600000000000002,Under Haze,0.85,6.616447992441462,1.1156079093635286e-10,-25.22858233022176,-29.680685094266977
2.7800000000000002,Under Haze,0.85,7.217226723553466,1.3274020237212335e-10,-25.202556645597202,-29.65006664174632
2.8000000000000003,Haze,0.85,9.243001236513846,2.1771472367184647e-10,-25.177136289957943,-29.62016034090928
2.8200000000000003,Haze,0.85,7.027816762085858,1.2586432102984972e-10,-25.152305186707935,-29.590947278354058
2.8400000000000003,Haze,0.85,4.248417503424653,4.5995586103094034e-11,-25.12804775624179,-29.562409124944345
2.8600000000000003,Haze,0.85,5.550527953388006,7.851097426917107e-11,-25.10434889754087,-29.534528114675453
2.8800000000000003,Haze,0.85,3.6922733181588203,3.474157171990286e-11,-25.08119397079561,-29.50728702443068
2.9000000000000004,Haze,0.85,6.32124075979135,1.0182781900634338e-10,-25.05856878148361,-29.480669154584774
2.92,Haze,0.85,1.4272155578309005,5.190879182436412e-12,-25.036459563856127,-29.454658310413784
2.94,Haze,0.85,4.198594066966594,4.492308302788444e-11,-25.014852966670045,-29.429238784272776
2.96,Haze,0.85,7.93487477133991,1.604508168876296e-10,-24.993736037865588,-29.404395338504948
2.98,Haze,0.85,8.988579164998125,2.0589408670077105e-10,-24.973096210865524,-29.380113189047663
3.0,Haze,0.85,8.001549597058375,1.631586042282105e-10,-24.95292129138604,-29.35637798970277
3.02,Haze,0.85,5.831795856665405,8.666952259887392e-11,-24.933199444557967,-29.333175817040352
3.04,Haze,0.85,4.257090403805455,4.6183572484883914e-11,-24.913919182559734,-29.310493155906443
3.06,Haze,0.85,8.396540728159918,1.7966462536808584e-10,-24.895069352833847,-29.288316885507214
3.08,Haze,0.85,1.1954236897188086,3.641711137482463e-12,-24.87663912613975,-29.266634266043123
3.1,Haze,0.85,3.596015962925497,3.295376195446492e-11,-24.858617987015936,-29.245432925868148
3.12,Haze,0.85,4.886949497478685,6.086077527466842e-11,-24.840995721829625,-29.224700849150462
3.14,Haze,0.85,9.288180312690265,2.1984827077503547e-10,-24.82376240959714,-29.204426364012082
3.16,Haze,0.85,1.7697823372853982,7.981811942578608e-12,-24.806908411463954,-29.184598131126084
3.18,Haze,0.85,4.737961028909922,5.7206416899409624e-11,-24.790424362887226,-29.165205132751296
3.2,Haze,0.85,1.3288902354932193,4.5002848002443634e-12,-24.774301162861164,-29.146236662185103
3.22,Haze,0.85,8.780707731086265,1.9648111854256773e-10,-24.758529966740706,-29.127682313616113
3.24,Haze,0.85,6.456660819774449,1.062374710228133e-10,-24.743102176595784,-29.10953197235939
3.2600000000000002,Haze,0.85,9.625865932893415,2.3612468718733804e-10,-24.7280094348397,-29.09177580545764
3.2800000000000002,Haze,0.85,6.934730320345052,1.2255214920490047e-10,-24.713243614841925,-29.074404252632657
3.3000000000000003,Haze,0.85,4.784342462691734,5.833192329499086e-11,-24.69879681498593,-29.057408017572172
3.3200000000000003,Haze,0.85,6.796439929437235,1.1771308555573185e-10,-24.684661350707124,-29.04077805953773
3.3400000000000003,Haze,0.85,6.171410992585281,9.705786142683628e-11,-24.67082974757063,-29.024505585280153
3.3600000000000003,Haze,0.85,5.925327042308564,8.947185259821994e-11,-24.657294735138297,-29.008582041249703
3.3800000000000003,Haze,0.85,9.79627504579228,2.445590386871138e-10,-24.644049240383143,-28.99299910608855
3.4000000000000004,Haze,0.85,1.5772668846022242,6.339750239579026e-12,-24.631086380890284,-28.977748683393997
3.4200000000000004,Haze,0.85,4.664116459855518,5.5437105951101536e-11,-24.61839946057707,-28.962822894741116
3.44,Haze,0.85,4.1388412260958445,4.3653524249392994e-11,-24.605981962048304,-28.948214072954354
3.46,Haze,0.85,4.558203079907618,5.294794618958813e-11,-24.59382754232013,-28.933914755617792
3.48,Haze,0.85,7.088527629956572,1.2804831012081227e-10,-24.581930027101166,-28.9199176788145
3.5,Haze,0.85,3.49695394833025,3.116316825604924e-11,-24.570283405449327,-28.90621577108569
3.52,Haze,0.85,3.530178235716115,3.175813895200257e-11,-24.55888182548774,-28.892802147600882
3.54,Haze,0.85,4.477918522539909,5.109920608508825e-11,-24.547719588894463,-28.879670104530625
3.56,Haze,0.85,9.634111574245141,2.365293953789739e-10,-24.536791146772817,-28.866813113613844
3.58,Haze,0.85,8.856654495443955,1.9989465612351328e-10,-24.526091094545087,-28.854224816911977
3.6,Haze,0.85,6.015955981598168,9.22297599163969e-11,-24.5156141685597,-28.841899021742712
3.62,Haze,0.85,8.10297082684941,1.6732095280198586e-10,-24.50535524156055,-28.82982969578627
3.64,Haze,0.85,1.6423129221011914,6.873431334113411e-12,-24.495309318009692,-28.81801096235747
3.66,Haze,0.85,6.128320081674238,9.570721066096559e-11,-24.485471531543045,-28.80643709583729
3.68,Haze,0.85,7.337424663315103,1.3719841327653954e-10,-24.47583713978566,-28.795102517257696
3.7,Haze,0.85,5.411826311614454,7.46361928104207e-11,-24.4664015215923,-28.784001790033955
3.72,Haze,0.85,9.611854501706416,2.3543778027643115e-10,-24.457160173663016,-28.773129615838698
3.74,Haze,0.85,9.643875817704295,2.37009086930625e-10,-24.448108706222165,-28.7624808306126
3.7600000000000002,Haze,0.85,8.730762379185489,1.9425227561885107e-10,-24.43924284076543,-28.752050400706256
3.7800000000000002,Haze,0.85,8.571003509689845,1.872083106367491e-10,-24.430558406435402,-28.741833419148563
3.8000000000000003,Haze,0.85,4.694382347452629,5.615891343814867e-11,-24.42205133677898,-28.731825102036762
3.8200000000000003,Haze,0.85,1.220942342505555,3.798849507247006e-12,-24.413717667290356,-28.722020785043682
3.8400000000000003,Haze,0.85,7.110634350714287,1.2884823428713623e-10,-24.40555353214171,-28.71241592003787
3.8600000000000003,Haze,0.85,6.721658690123771,1.1513694207950838e-10,-24.397555161138403,-28.703006071812396
3.8800000000000003,Haze,0.85,6.308832665885928,1.0142845150115575e-10,-24.389718877766924,-28.693786914918483
3.9000000000000004,Haze,0.85,8.587553285456776,1.8793197077166933e-10,-24.382041096169726,-28.68475423059998
3.9200000000000004,Haze,0.85,7.204722777684219,1.3228065230507798e-10,-24.374518318363855,-28.675903903825194
3.94,Haze,0.85,3.649622840381216,3.3943588210492274e-11,-24.367147132379472,-28.667231920412494
3.96,Haze,0.85,3.3631345187515698,2.8823734947571672e-11,-24.359924209633856,-28.658734364246303
3.98,Haze,0.85,6.571240380188024,1.100414962327855e-10,-24.352846302486803,-28.650407414580314
4.0,Haze,0.85,6.613547419733132,1.1146299850850628e-10,-24.34591024200582,-28.6422473434248
4.02,Medium Haze,0.85,9.174045436022935,2.1447839536761427e-10,-24.339112936245073,-28.63425051301502
4.04,Medium Haze,0.85,9.685513272927457,2.3906007949216316e-10,-24.33245136755747,-28.626413373357966
4.06,Medium Haze,0.85,6.205344745676263,9.812814902680118e-11,-24.325922590959767,-28.618732459854538
4.08,Medium Haze,0.85,5.005056708211699,6.383807509800145e-11,-24.319523732399766,-28.61120439099471
4.1,Medium Haze,0.85,6.8658430108854045,1.2012945762311528e-10,-24.31325198630667,-28.603825866123017
4.12,Medium Haze,0.85,5.7908834445156225,8.54577444446859e-11,-24.307104613853806,-28.596593663271964
4.14,Medium Haze,0.85,5.5849728130340655,7.948842741785887e-11,-24.30107894156949,-28.589504637061086
4.16,Medium Haze,0.85,3.962624044915226,4.0015432873087916e-11,-24.29517235919442,-28.582555716659307
4.18,Medium Haze,0.85,1.740495691604035,7.71982905347459e-12,-24.28938231824381,-28.57574390380853
4.199999999999999,Medium Haze,0.85,3.3000203448475807,2.7752046405083e-11,-24.283706330293963,-28.569066270906323
4.22,Medium Haze,0.85,3.7268123708986005,3.5394585863916024e-11,-24.27814196530395,-28.56251995914572
4.239999999999999,Medium Haze,0.85,8.184920418570508,1.7072247597103127e-10,-24.272686850348837,-28.556102176710265
4.26,Medium Haze,0.85,8.066625261355362,1.6582329573480806e-10,-24.267338667609934,-28.549810197022335
4.279999999999999,Medium Haze,0.85,5.130748437593235,6.708465976308375e-11,-24.262095153543644,-28.543641357043086
4.3,Medium Haze,0.85,4.845814872882133,5.98405278062707e-11,-24.256954097329757,-28.537593055622228
4.319999999999999,Medium Haze,0.85,4.674090366884926,5.567445668705588e-11,-24.251913339158953,-28.531662751896036
4.34,Medium Haze,0.85,3.577323719193511,3.2612062244442216e-11,-24.246970769199855,-28.525847963731927
4.359999999999999,Medium Haze,0.85,2.1780211064334685,1.2088876655022624e-11,-24.242124326295745,-28.520146266218198
4.38,Medium Haze,0.85,6.292720309411369,1.0091102947816682e-10,-24.23737199675351,-28.514555290197336
4.3999999999999995,Medium Haze,0.85,7.356959791636176,1.379299387349523e-10,-24.23271181283253,-28.50907272084152
4.42,Medium Haze,0.85,2.100219280631481,1.1240640557419903e-11,-24.228141851838213,-28.503696296269013
4.4399999999999995,Medium Haze,0.85,3.5524328592888423,3.215981452930858e-11,-24.223660235297338,-28.498423806200005
4.46,Medium Haze,0.85,5.783771851219205,8.524797764307324e-11,-24.21926512712558,-28.493253090650732
4.4799999999999995,Medium Haze,0.85,5.584984940535986,7.94887726288868e-11,-24.214954732932497,-28.48818203866463
4.5,Medium Haze,0.85,3.962936087600144,4.002173526998713e-11,-24.210727299051428,-28.483208587079307
4.52,Medium Haze,0.85,3.6273316788070784,3.353021327633386e-11,-24.206581111457492,-28.478330719328227
4.54,Medium Haze,0.85,8.53114204815839,1.8547104753769963e-10,-24.20251449479227,-28.473546464276023
4.56,Medium Haze,0.85,8.681912279541756,1.9208460786083694e-10,-24.198525810986645,-28.468853895086323
4.58,Medium Haze,0.85,3.1995944648845485,2.6088652737717534e-11,-24.194613458925136,-28.46425112812113
4.6,Medium Haze,0.85,6.903265448081858,1.214425632653422e-10,-24.19077587369336,-28.45973632187075
4.62,Medium Haze,0.85,5.342203984106824,7.272817874528698e-11,-24.187011524588108,-28.455307675913282
4.64,Medium Haze,0.85,5.765829715058989,8.471989374093454e-11,-24.18331891548941,-28.450963429902817
4.66,Medium Haze,0.85,7.160777281786739,1.306718714247992e-10,-24.179696583308665,-28.446701862585403
4.68,Medium Haze,0.85,4.214696995061876,4.526833212049591e-11,-24.176143097254144,-28.44252129084196
4.7,Medium Haze,0.85,9.081303429848372,2.10163915950585e-10,-24.17265705862233,-28.438420068757285
4.72,Medium Haze,0.85,7.864131401470327,1.5760257223451332e-10,-24.169237098841197,-28.434396586714396
4.739999999999999,Medium Haze,0.85,2.9670932950182505,2.2434902303320752e-11,-24.165881879955446,-28.430449270513385
4.76,Medium Haze,0.85,7.565235302295323,1.4585007584555733e-10,-24.162590093560958,-28.4265765805141
4.779999999999999,Medium Haze,0.85,5.36364997468961,7.331327754079599e-11,-24.159360459243906,-28.42277701080187
4.8,Medium Haze,0.85,5.496880392928178,7.70006431756671e-11,-24.15619172518474,-28.419049088375637
4.819999999999999,Medium Haze,0.85,9.003421365977802,2.0657460458284254e-10,-24.153082666679733,-28.415391372357817
4.84,Medium Haze,0.85,8.049877533149498,1.6513545405178715e-10,-24.150032085381763,-28.411802453225178
4.859999999999999,Medium Haze,0.85,9.501880634841731,2.3008108628031255e-10,-24.14703880944673,-28.408280952060192
4.88,Medium Haze,0.85,2.6249598833171635,1.7559296792943888e-11,-24.14410169186381,-28.404825519822218
4.8999999999999995,Medium Haze,0.85,2.427018098318299,1.5010937202908296e-11,-24.14121961115497,-28.401434836637897
4.92,Medium Haze,0.85,7.261475979815456,1.343728685818858e-10,-24.138391469557945,-28.39810761111027
4.9399999999999995,Medium Haze,0.85,5.921635453047307,8.936040206108463e-11,-24.135616192775046,-28.39484257964599
4.96,Medium Haze,0.85,1.4157547742618908,5.107846624507644e-12,-24.132892729934465,-28.391638505800145
4.9799999999999995,Medium Haze,0.85,9.331235494537781,2.2189119969722456e-10,-24.130220052881064,-28.388494179638187
5.0,Medium Haze,0.85,1.4287954942841021,5.202378214410716e-12,-24.127597154551673,-28.385408417114416
5.02,Medium Haze,0.85,2.0303573348189605,1.0505258316090347e-11,-24.12502305055553,-28.38238005946659
5.04,Medium Haze,0.85,4.002383103782986,4.082245240148874e-11,-24.12249677676697,-28.379407972626204
5.06,Medium Haze,0.85,8.51254559156628,1.8466333737856695e-10,-24.120017389804296,-28.37649104664392
5.08,Medium Haze,0.85,9.27809496958516,2.1937109625935938e-10,-24.117583966046787,-28.373628195129793
5.1,Medium Haze,0.85,4.4533800087587725,5.054070420458015e-11,-24.115195601544613,-28.37081835470783
5.12,Medium Haze,0.85,9.836871076174962,2.4659015711343426e-10,-24.112851412021378,-28.368060484484445
5.14,Medium Haze,0.85,8.295074572956146,1.753486262292347e-10,-24.110550530849984,-28.365353565530516
5.16,Medium Haze,0.85,1.6430923803059527,6.879957281452946e-12,-24.1082921103259,-28.362696600376527
5.18,Medium Haze,0.85,5.037903200889388,6.467871985779662e-11,-24.106075320697432,-28.36008861252054
5.2,Medium Haze,0.85,3.538335370190194,3.1905074710286424e-11,-24.103899349083385,-28.35752864594855
5.22,Medium Haze,0.85,3.3610727983295385,2.8788405841714426e-11,-24.101763399991377,-28.355015764666952
